wind_speed_id,wind_category
262,Середній вітер
263,Малий вітер
264,Малий вітер
265,Малий вітер
266,Малий вітер
267,Малий вітер
268,Малий вітер
269,Малий вітер
270,Малий вітер
271,Малий вітер
272,Середній вітер
273,Середній вітер
274,Середній вітер
275,Середній вітер
276,Малий вітер
277,Середній вітер
278,Середній вітер
279,Малий вітер
280,Малий вітер
281,Малий вітер
282,Малий вітер
283,Малий вітер
284,Малий вітер
285,Середній вітер
286,Малий вітер
287,Середній вітер
288,Середній вітер
289,Середній вітер
290,Середній вітер
291,Малий вітер
292,Середній вітер
293,Сильний вітер
294,Середній вітер
295,Малий вітер
296,Малий вітер
297,Малий вітер
298,Середній вітер
299,Малий вітер
300,Середній вітер
301,Середній вітер
302,Середній вітер
303,Середній вітер
304,Малий вітер
305,Малий вітер
306,Малий вітер
307,Малий вітер
308,Середній вітер
309,Середній вітер
310,Малий вітер
311,Малий вітер
312,Малий вітер
313,Малий вітер
314,Середній вітер
315,Середній вітер
316,Середній вітер
317,Середній вітер
318,Середній вітер
319,Середній вітер
320,Малий вітер
321,Середній вітер
322,Середній вітер
323,Середній вітер
324,Середній вітер
325,Малий вітер
326,Малий вітер
327,Середній вітер
328,Середній вітер
329,Малий вітер
330,Малий вітер
331,Середній вітер
332,Малий вітер
333,Середній вітер
334,Середній вітер
335,Середній вітер
336,Малий вітер
337,Малий вітер
338,Малий вітер
339,Малий вітер
340,Середній вітер
341,Середній вітер
342,Середній вітер
343,Малий вітер
344,Середній вітер
345,Малий вітер
346,Малий вітер
347,Малий вітер
348,Малий вітер
349,Середній вітер
350,Середній вітер
351,Середній вітер
352,Середній вітер
353,Середній вітер
354,Малий вітер
355,Середній вітер
356,Малий вітер
357,Середній вітер
358,Середній вітер
359,Середній вітер
360,Середній вітер
361,Середній вітер
362,Середній вітер
363,Малий вітер
364,Малий вітер
365,Середній вітер
366,Середній вітер
367,Середній вітер
368,Середній вітер
369,Середній вітер
370,Малий вітер
371,Середній вітер
372,Середній вітер
373,Середній вітер
374,Малий вітер
375,Середній вітер
376,Малий вітер
377,Середній вітер
378,Сильний вітер
379,Середній вітер
380,Середній вітер
381,Середній вітер
382,Середній вітер
383,Сильний вітер
384,Середній вітер
385,Середній вітер
386,Середній вітер
387,Середній вітер
388,Малий вітер
389,Малий вітер
390,Середній вітер
391,Малий вітер
392,Середній вітер
393,Середній вітер
394,Середній вітер
395,Середній вітер
396,Середній вітер
397,Середній вітер
398,Середній вітер
399,Середній вітер
400,Малий вітер
401,Середній вітер
402,Середній вітер
403,Малий вітер
404,Малий вітер
405,Середній вітер
406,Малий вітер
407,Середній вітер
408,Сильний вітер
409,Середній вітер
410,Малий вітер
411,Середній вітер
412,Малий вітер
413,Середній вітер
414,Середній вітер
415,Середній вітер
416,Середній вітер
417,Середній вітер
418,Середній вітер
419,Середній вітер
420,Середній вітер
421,Сильний вітер
422,Середній вітер
423,Середній вітер
424,Середній вітер
425,Середній вітер
426,Середній вітер
427,Малий вітер
428,Середній вітер
429,Середній вітер
430,Середній вітер
431,Середній вітер
432,Середній вітер
433,Сильний вітер
434,Сильний вітер
435,Середній вітер
436,Середній вітер
437,Середній вітер
438,Середній вітер
439,Малий вітер
440,Середній вітер
441,Малий вітер
442,Малий вітер
443,Малий вітер
444,Середній вітер
445,Малий вітер
446,Малий вітер
447,Малий вітер
448,Малий вітер
449,Середній вітер
450,Середній вітер
451,Сильний вітер
452,Середній вітер
453,Середній вітер
454,Середній вітер
455,Малий вітер
456,Середній вітер
457,Середній вітер
458,Середній вітер
459,Малий вітер
460,Середній вітер
461,Середній вітер
462,Середній вітер
463,Середній вітер
464,Середній вітер
465,Середній вітер
466,Середній вітер
467,Середній вітер
468,Середній вітер
469,Середній вітер
470,Середній вітер
471,Середній вітер
472,Середній вітер
473,Середній вітер
474,Середній вітер
475,Малий вітер
476,Середній вітер
477,Середній вітер
478,Середній вітер
479,Середній вітер
480,Середній вітер
481,Малий вітер
482,Середній вітер
483,Середній вітер
484,Малий вітер
485,Малий вітер
486,Середній вітер
487,Середній вітер
488,Малий вітер
489,Малий вітер
490,Середній вітер
491,Середній вітер
492,Середній вітер
493,Середній вітер
494,Середній вітер
495,Середній вітер
496,Середній вітер
497,Середній вітер
498,Малий вітер
499,Середній вітер
500,Середній вітер
501,Малий вітер
502,Малий вітер
503,Середній вітер
504,Малий вітер
505,Малий вітер
506,Середній вітер
507,Середній вітер
508,Малий вітер
509,Малий вітер
510,Середній вітер
511,Малий вітер
512,Середній вітер
513,Середній вітер
514,Середній вітер
515,Середній вітер
516,Малий вітер
517,Середній вітер
518,Середній вітер
519,Середній вітер
520,Середній вітер
521,Середній вітер
522,Середній вітер
523,Малий вітер
524,Середній вітер
525,Середній вітер
526,Малий вітер
527,Малий вітер
528,Середній вітер
529,Середній вітер
530,Середній вітер
531,Середній вітер
532,Середній вітер
533,Середній вітер
534,Малий вітер
535,Середній вітер
536,Малий вітер
537,Малий вітер
538,Малий вітер
539,Середній вітер
540,Середній вітер
541,Малий вітер
542,Середній вітер
543,Середній вітер
544,Середній вітер
545,Середній вітер
546,Середній вітер
547,Середній вітер
548,Середній вітер
549,Середній вітер
550,Малий вітер
551,Малий вітер
552,Середній вітер
553,Малий вітер
554,Середній вітер
555,Малий вітер
556,Середній вітер
557,Середній вітер
558,Середній вітер
559,Малий вітер
560,Малий вітер
561,Малий вітер
562,Середній вітер
563,Середній вітер
564,Малий вітер
565,Малий вітер
566,Середній вітер
567,Середній вітер
568,Середній вітер
569,Малий вітер
570,Малий вітер
571,Середній вітер
572,Середній вітер
573,Середній вітер
574,Середній вітер
575,Середній вітер
576,Середній вітер
577,Середній вітер
578,Середній вітер
579,Малий вітер
580,Малий вітер
581,Середній вітер
582,Середній вітер
583,Середній вітер
584,Малий вітер
585,Малий вітер
586,Малий вітер
587,Середній вітер
588,Середній вітер
589,Середній вітер
590,Малий вітер
591,Малий вітер
592,Середній вітер
593,Середній вітер
594,Малий вітер
595,Середній вітер
596,Середній вітер
597,Малий вітер
598,Малий вітер
599,Малий вітер
600,Малий вітер
601,Малий вітер
602,Малий вітер
603,Середній вітер
604,Середній вітер
605,Малий вітер
606,Середній вітер
607,Малий вітер
608,Малий вітер
609,Середній вітер
610,Малий вітер
611,Малий вітер
612,Середній вітер
613,Середній вітер
614,Середній вітер
615,Малий вітер
616,Середній вітер
617,Середній вітер
618,Середній вітер
619,Середній вітер
620,Малий вітер
621,Малий вітер
622,Малий вітер
623,Малий вітер
624,Середній вітер
625,Малий вітер
626,Середній вітер
627,Середній вітер
628,Середній вітер
629,Малий вітер
630,Середній вітер
631,Середній вітер
632,Середній вітер
633,Малий вітер
634,Середній вітер
635,Середній вітер
636,Малий вітер
637,Середній вітер
638,Середній вітер
639,Малий вітер
640,Малий вітер
641,Малий вітер
642,Малий вітер
643,Малий вітер
644,Малий вітер
645,Середній вітер
646,Малий вітер
647,Середній вітер
648,Середній вітер
649,Середній вітер
650,Середній вітер
651,Середній вітер
652,Малий вітер
653,Середній вітер
654,Середній вітер
655,Середній вітер
656,Малий вітер
657,Середній вітер
658,Малий вітер
659,Малий вітер
660,Середній вітер
661,Малий вітер
662,Малий вітер
663,Малий вітер
664,Малий вітер
665,Малий вітер
666,Середній вітер
667,Сильний вітер
668,Середній вітер
669,Середній вітер
670,Середній вітер
671,Середній вітер
672,Середній вітер
673,Середній вітер
674,Середній вітер
675,Середній вітер
676,Середній вітер
677,Середній вітер
678,Середній вітер
679,Середній вітер
680,Малий вітер
681,Малий вітер
682,Середній вітер
683,Середній вітер
684,Середній вітер
685,Середній вітер
686,Середній вітер
687,Середній вітер
688,Середній вітер
689,Середній вітер
690,Малий вітер
691,Малий вітер
692,Малий вітер
693,Малий вітер
694,Сильний вітер
695,Середній вітер
696,Малий вітер
697,Середній вітер
698,Середній вітер
699,Малий вітер
700,Малий вітер
701,Малий вітер
702,Малий вітер
703,Малий вітер
704,Середній вітер
705,Середній вітер
706,Середній вітер
707,Малий вітер
708,Малий вітер
709,Середній вітер
710,Середній вітер
711,Середній вітер
712,Середній вітер
713,Середній вітер
714,Малий вітер
715,Малий вітер
716,Малий вітер
717,Малий вітер
718,Середній вітер
719,Середній вітер
720,Малий вітер
721,Сильний вітер
722,Сильний вітер
723,Малий вітер
724,Малий вітер
725,Середній вітер
726,Середній вітер
727,Середній вітер
728,Середній вітер
729,Малий вітер
730,Середній вітер
731,Середній вітер
